colorData=True																											
sizeData=t																											
shapeData=t																											
luminanceData=false																											
pointAspectRatio=1.5																											
	(offscreen dot to trigger sound)					Fixation cross					Dot to judge					Ignore1					Ignore2						
0.46	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.68	6.71	-	"(255,0,0)"	size1.5	d	l
0.5	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.67	6.71	-	"(255,0,0)"	size1.5	d	l
0.53	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.67	6.71	-	"(255,0,0)"	size1.5	d	l
0.56	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.67	6.71	-	"(255,0,0)"	size1.5	d	l
0.59	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.67	6.71	-	"(255,0,0)"	size1.5	d	l
0.63	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.67	6.71	-	"(255,0,0)"	size1.5	d	l
0.66	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.67	6.71	-	"(255,0,0)"	size1.5	d	l
0.69	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.66	6.71	-	"(255,0,0)"	size1.5	d	l
0.73	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.66	6.71	-	"(255,0,0)"	size1.5	d	l
0.76	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.64	6.71	-	"(255,0,0)"	size1.5	d	l
0.79	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.64	6.71	-	"(255,0,0)"	size1.5	d	l
0.83	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.64	6.71	-	"(255,0,0)"	size1.5	d	l
0.86	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.64	6.71	-	"(255,0,0)"	size1.5	d	l
0.89	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.63	6.71	-	"(255,0,0)"	size1.5	d	l
0.92	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.63	6.71	-	"(255,0,0)"	size1.5	d	l
0.96	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.63	6.71	diamond	"(255,0,0)"	size1.5	d	l
0.99	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.63	6.71	diamond	"(255,0,0)"	size1.5	d	l
1.02	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.61	6.71	diamond	"(255,0,0)"	size1.5	d	l
1.06	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.61	6.71	diamond	"(255,0,0)"	size1.5	d	l
1.09	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.61	6.71	diamond	"(255,0,0)"	size1.5	d	l
1.12	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.61	6.71	diamond	"(255,0,0)"	size1.5	d	l
1.16	10	4	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	-	-	-	-	-	3.61	6.71	diamond	"(255,0,0)"	size1.5	d	l
1.19	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	-	-	-	-	-	3.61	6.71	diamond	"(255,0,0)"	size1.5	d	l
1.22	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	-	-	-	-	-	3.61	6.71	diamond	"(255,0,0)"	size1.5	d	l
1.25	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	-	-	-	-	-	3.61	6.71	diamond	"(255,0,0)"	size1.5	d	l
1.29	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	-	-	-	-	-	3.61	6.71	diamond	"(255,0,0)"	size1.5	d	l
1.32	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	-	-	-	-	-	3.63	6.71	diamond	"(255,0,0)"	size1.5	d	l
1.35	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	-	-	-	-	-	3.63	6.71	diamond	"(255,0,0)"	size1.5	d	l
1.39	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	-	-	-	-	-	3.64	6.69	diamond	"(255,0,0)"	size1.5	d	l
1.42	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	-	-	-	-	-	3.64	6.69	diamond	"(255,0,0)"	size1.5	d	l
1.45	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	-	-	-	-	-	3.64	6.69	diamond	"(255,0,0)"	size1.5	d	l
1.49	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	-	-	-	-	-	3.64	6.67	diamond	"(255,0,0)"	size1.5	d	l
1.52	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.33	4.6	"(0,0,255)"	size1	-	3.64	6.67	diamond	"(255,0,0)"	size1.5	d	l
1.55	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.36	4.6	"(0,0,255)"	size1	-	3.64	6.65	diamond	"(255,0,0)"	size1.5	d	l
1.58	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.38	4.6	"(0,0,255)"	size1	-	3.64	6.65	diamond	"(255,0,0)"	size1.5	d	l
1.62	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.39	4.58	"(0,0,255)"	size1	-	3.66	6.63	diamond	"(255,0,0)"	size1.5	d	l
1.65	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.4	4.58	"(0,0,255)"	size1	-	3.66	6.63	diamond	"(255,0,0)"	size1.5	d	l
1.68	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.42	4.58	"(0,0,255)"	size1	-	3.66	6.63	diamond	"(255,0,0)"	size1.5	d	l
1.72	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.43	4.58	"(0,0,255)"	size1	-	3.66	6.63	diamond	"(255,0,0)"	size1.5	d	l
1.75	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.43	4.58	"(0,0,255)"	size1	-	3.66	6.63	diamond	"(255,0,0)"	size1.5	d	l
1.78	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.44	4.56	"(0,0,255)"	size1	-	3.66	6.63	diamond	"(255,0,0)"	size1.5	d	l
1.82	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.44	4.56	"(0,0,255)"	size1	-	3.66	6.63	diamond	"(255,0,0)"	size1.5	d	l
1.85	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.44	4.56	"(0,0,255)"	size1	-	3.66	6.63	diamond	"(255,0,0)"	size1.5	d	l
1.88	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.44	4.56	"(0,0,255)"	size1	-	3.66	6.63	diamond	"(255,0,0)"	size1.5	d	l
1.91	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.44	4.56	"(0,0,255)"	size1	-	3.66	6.63	diamond	"(255,0,0)"	size1.5	d	l
1.95	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.44	4.56	"(0,0,255)"	size1	-	3.66	6.63	diamond	"(255,0,0)"	size1.5	d	l
1.98	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.44	4.56	"(0,0,255)"	size1	-	3.66	6.63	diamond	"(255,0,0)"	size1.5	d	l
2.01	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.44	4.56	"(0,0,255)"	size1	-	3.66	6.63	diamond	"(255,0,0)"	size1.5	d	l
2.05	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.44	4.56	"(0,0,255)"	size1	-	3.66	6.63	diamond	"(255,0,0)"	size1.5	d	l
2.08	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.44	4.56	"(0,0,255)"	size1	-	3.66	6.63	diamond	"(255,0,0)"	size1.5	d	l
2.11	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.44	4.56	"(0,0,255)"	size1	-	3.66	6.65	diamond	"(255,0,0)"	size1.5	d	l
2.15	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.43	4.56	"(0,0,255)"	size1	-	3.66	6.67	diamond	"(255,0,0)"	size1.5	d	l
2.18	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.43	4.56	"(0,0,255)"	size1	-	3.67	6.69	diamond	"(255,0,0)"	size1.5	d	l
2.21	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.43	4.56	"(0,0,255)"	size1	-	3.67	6.69	diamond	"(255,0,0)"	size1.5	d	l
2.24	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.43	4.56	"(0,0,255)"	size1	-	3.67	6.69	diamond	"(255,0,0)"	size1.5	d	l
2.28	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.43	4.56	"(0,0,255)"	size1	-	3.67	6.69	diamond	"(255,0,0)"	size1.5	d	l
2.31	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.43	4.56	"(0,0,255)"	size1	-	3.67	6.69	diamond	"(255,0,0)"	size1.5	d	l
2.34	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.43	4.56	"(0,0,255)"	size1	-	3.67	6.69	-	"(255,0,0)"	size1.5	d	l
2.38	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.43	4.56	"(0,0,255)"	size1	-	3.67	6.69	-	"(255,0,0)"	size1.5	d	l
2.41	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.43	4.56	"(0,0,255)"	size1	-	3.67	6.69	-	"(255,0,0)"	size1.5	d	l
2.44	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.42	4.58	"(0,0,255)"	size1	-	3.67	6.69	-	"(255,0,0)"	size1.5	d	l
2.48	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.42	4.58	"(0,0,255)"	size1	-	3.67	6.69	-	"(255,0,0)"	size1.5	d	l
2.51	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.42	4.58	"(0,0,255)"	size1	-	3.67	6.69	-	"(255,0,0)"	size1.5	d	l
2.54	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.4	4.6	"(0,0,255)"	size1	-	3.66	6.69	-	"(255,0,0)"	size1.5	d	l
2.57	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.4	4.6	"(0,0,255)"	size1	-	3.66	6.69	-	"(255,0,0)"	size1.5	d	l
2.61	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.4	4.6	"(0,0,255)"	size1	-	3.66	6.69	-	"(255,0,0)"	size1.5	d	l
2.64	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.4	4.6	"(0,0,255)"	size1	-	3.66	6.69	-	"(255,0,0)"	size1.5	d	l
2.67	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.4	4.6	"(0,0,255)"	size1	-	3.66	6.69	-	"(255,0,0)"	size1.5	d	l
2.71	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.4	4.6	"(0,0,255)"	size1	-	3.66	6.69	-	"(255,0,0)"	size1.5	d	l
2.74	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.4	4.6	"(0,0,255)"	size1	-	3.66	6.69	-	"(255,0,0)"	size1.5	d	l
2.77	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.4	4.6	"(0,0,255)"	size1	-	3.66	6.69	-	"(255,0,0)"	size1.5	d	l
2.81	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.4	4.6	"(0,0,255)"	size1	-	3.66	6.69	-	"(255,0,0)"	size1.5	d	l
2.84	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.4	4.63	"(0,0,255)"	size1	-	3.66	6.69	-	"(255,0,0)"	size1.5	d	l
2.87	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.4	4.63	"(0,0,255)"	size1	-	3.66	6.69	-	"(255,0,0)"	size1.5	d	l
2.9	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.4	4.65	"(0,0,255)"	size1	-	3.66	6.69	-	"(255,0,0)"	size1.5	d	l
2.94	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.4	4.65	"(0,0,255)"	size1	-	3.66	6.69	-	"(255,0,0)"	size1.5	d	l
2.97	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.4	4.65	"(0,0,255)"	size1	-	3.66	6.69	-	"(255,0,0)"	size1.5	d	l
3	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.42	4.67	"(0,0,255)"	size1	-	3.66	6.69	-	"(255,0,0)"	size1.5	d	l
3.04	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.42	4.67	"(0,0,255)"	size1	-	3.66	6.71	-	"(255,0,0)"	size1.5	d	l
3.07	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.42	4.67	"(0,0,255)"	size1	-	3.66	6.71	-	"(255,0,0)"	size1.5	d	l
3.1	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.43	4.67	"(0,0,255)"	size1	-	3.66	6.71	-	"(255,0,0)"	size1.5	d	l
3.14	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.43	4.67	"(0,0,255)"	size1	-	3.66	6.71	-	"(255,0,0)"	size1.5	d	l
3.17	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.43	4.67	"(0,0,255)"	size1	-	3.66	6.71	-	"(255,0,0)"	size1.5	d	l
3.2	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.43	4.67	"(0,0,255)"	size1	-	3.66	6.71	-	"(255,0,0)"	size1.5	d	l
3.23	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.43	4.67	"(0,0,255)"	size1	-	3.66	6.71	-	"(255,0,0)"	size1.5	d	l
3.27	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.42	4.69	"(0,0,255)"	size1	-	3.66	6.71	-	"(255,0,0)"	size1.5	d	l
3.3	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.42	4.69	"(0,0,255)"	size1	-	3.66	6.71	-	"(255,0,0)"	size1.5	d	l
3.33	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.42	4.69	"(0,0,255)"	size1	-	3.66	6.71	-	"(255,0,0)"	size1.5	d	l
3.37	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.42	4.69	"(0,0,255)"	size1	-	3.66	6.71	-	"(255,0,0)"	size1.5	d	l
3.4	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.42	4.69	"(0,0,255)"	size1	-	3.66	6.71	-	"(255,0,0)"	size1.5	d	l
3.43	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.42	4.69	"(0,0,255)"	size1	-	3.66	6.71	-	"(255,0,0)"	size1.5	d	l
3.47	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.42	4.69	"(0,0,255)"	size1	-	3.66	6.71	-	"(255,0,0)"	size1.5	d	l
3.5	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.42	4.69	"(0,0,255)"	size1	-	3.66	6.71	-	"(255,0,0)"	size1.5	d	l
3.53	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.42	4.69	"(0,0,255)"	size1	-	3.66	6.71	-	"(255,0,0)"	size1.5	d	l
3.54	10	5	"(255, 255, 255)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(255, 255, 255)"	size1.5	dot	3.42	4.69	"(0,0,255)"	size1	-	3.66	6.71	-	"(255,0,0)"	size1.5	d	l
